409	23205	1	44	
23205	45583	1	42	
45583	67497	1	40	
67497	89427	1	42	
89427	110694	1	44	
110694	133667	1	44	
133667	176840	1	44	
176840	265147	1	42	
265147	288012	1	44	
288012	309639	1	47	
309639	353013	1	47	
353013	375810	1	44	
375810	398232	1	42	
398232	420322	1	40	
420322	442288	1	42	
442288	463539	1	44	
463539	486568	1	44	
486568	529641	1	44	
529641	574499	1	42	
574499	595864	1	44	
595864	618693	1	42	
618693	725190	1	40	
725190	727239	1	40	
727239	729288	1	40	
729288	731337	1	40	
731337	733386	1	40	
733386	735435	1	40	
735435	737484	1	40	
737484	739533	1	40	
739533	741582	1	40	
741582	743631	1	40	
743631	745680	1	40	
745680	747729	1	40	
747729	749778	1	40	
749778	751827	1	40	
751827	753876	1	40	
753876	755925	1	40	
755925	757974	1	40	
757974	760023	1	40	
760023	762072	1	40	
762072	764121	1	40	
764121	766170	1	40	
766170	768219	1	40	
768219	770268	1	40	
770268	772317	1	40	
772317	774366	1	40	
774366	776415	1	40	
776415	778464	1	40	
778464	780513	1	40	
780513	782562	1	40	
782562	784611	1	40	
784611	786660	1	40	
786660	788709	1	40	
788709	790758	1	40	
